peer63.org1.example.com,15.9kB / 8.21kB
peer54.org1.example.com,18.8kB / 8.11kB
peer95.org1.example.com,16.5kB / 8.11kB
peer30.org1.example.com,18.1kB / 8.52kB
peer90.org1.example.com,18.2kB / 8.04kB
peer55.org1.example.com,19.2kB / 8.16kB
peer84.org1.example.com,16.9kB / 8.11kB
peer17.org1.example.com,20.6kB / 8.23kB
peer13.org1.example.com,26.5kB / 8.09kB
peer60.org1.example.com,79.3kB / 20.4kB
peer35.org1.example.com,76.7kB / 16.3kB
peer74.org1.example.com,26.8kB / 8.11kB
peer29.org1.example.com,78.7kB / 21.5kB
peer79.org1.example.com,77.9kB / 16.7kB
peer32.org1.example.com,26kB / 8.16kB
peer97.org1.example.com,23.5kB / 8.03kB
peer70.org1.example.com,77.8kB / 16.5kB
peer50.org1.example.com,76.6kB / 14.1kB
peer62.org1.example.com,73.2kB / 12.3kB
peer16.org1.example.com,25.6kB / 8.08kB
peer83.org1.example.com,83kB / 24.1kB
peer87.org1.example.com,94.3kB / 29.4kB
peer73.org1.example.com,105kB / 51.4kB
peer80.org1.example.com,101kB / 55.3kB
peer34.org1.example.com,148kB / 57.3kB
peer42.org1.example.com,127kB / 89.6kB
peer67.org1.example.com,94.2kB / 32.4kB
peer27.org1.example.com,121kB / 94kB
peer12.org1.example.com,127kB / 73.8kB
peer91.org1.example.com,87.9kB / 27kB
peer99.org1.example.com,192kB / 116kB
peer94.org1.example.com,108kB / 54.2kB
peer24.org1.example.com,130kB / 99.7kB
peer88.org1.example.com,131kB / 86kB
peer38.org1.example.com,291kB / 202kB
peer89.org1.example.com,376kB / 231kB
peer59.org1.example.com,345kB / 240kB
peer76.org1.example.com,385kB / 274kB
peer85.org1.example.com,413kB / 311kB
peer1.org1.example.com,1.13MB / 2.23MB
peer64.org1.example.com,435kB / 288kB
peer44.org1.example.com,327kB / 234kB
peer66.org1.example.com,421kB / 306kB
peer4.org1.example.com,327kB / 264kB
peer36.org1.example.com,432kB / 319kB
peer69.org1.example.com,489kB / 327kB
peer21.org1.example.com,398kB / 340kB
peer18.org1.example.com,387kB / 341kB
peer19.org1.example.com,396kB / 338kB
orderer.example.com,84.2kB / 2.15kB
peer46.org1.example.com,531kB / 413kB
peer41.org1.example.com,475kB / 346kB
peer8.org1.example.com,580kB / 447kB
peer86.org1.example.com,639kB / 431kB
peer47.org1.example.com,490kB / 386kB
peer6.org1.example.com,504kB / 443kB
peer75.org1.example.com,597kB / 423kB
peer81.org1.example.com,575kB / 428kB
peer37.org1.example.com,468kB / 344kB
peer28.org1.example.com,436kB / 360kB
peer2.org1.example.com,616kB / 398kB
peer68.org1.example.com,482kB / 386kB
peer48.org1.example.com,501kB / 334kB
peer10.org1.example.com,555kB / 373kB
peer98.org1.example.com,521kB / 367kB
peer93.org1.example.com,513kB / 388kB
peer71.org1.example.com,445kB / 261kB
peer77.org1.example.com,510kB / 261kB
peer58.org1.example.com,624kB / 457kB
peer11.org1.example.com,468kB / 145kB
peer40.org1.example.com,456kB / 181kB
peer20.org1.example.com,455kB / 132kB
peer9.org1.example.com,372kB / 84.6kB
peer45.org1.example.com,360kB / 125kB
peer3.org1.example.com,342kB / 82.8kB
peer51.org1.example.com,467kB / 134kB
peer57.org1.example.com,362kB / 103kB
peer26.org1.example.com,420kB / 134kB
peer7.org1.example.com,377kB / 154kB
peer23.org1.example.com,455kB / 282kB
peer65.org1.example.com,402kB / 98.1kB
peer0.org1.example.com,2.36MB / 8.53MB
peer31.org1.example.com,391kB / 99.2kB
peer56.org1.example.com,476kB / 342kB
peer52.org1.example.com,370kB / 158kB
peer92.org1.example.com,324kB / 117kB
peer78.org1.example.com,474kB / 224kB
peer43.org1.example.com,317kB / 90.1kB
peer22.org1.example.com,379kB / 119kB
peer61.org1.example.com,104kB / 12.6kB
peer25.org1.example.com,400kB / 124kB
peer39.org1.example.com,470kB / 121kB
peer33.org1.example.com,415kB / 143kB
peer82.org1.example.com,426kB / 124kB
peer15.org1.example.com,346kB / 110kB
peer53.org1.example.com,376kB / 108kB
peer72.org1.example.com,451kB / 135kB
peer5.org1.example.com,422kB / 132kB
peer96.org1.example.com,356kB / 151kB
peer49.org1.example.com,386kB / 133kB
peer14.org1.example.com,495kB / 244kB
1542764518.4593663,peer63.org1.example.com,15.9kB / 8.21kB,15900,8210
1542764518.4593663,peer54.org1.example.com,18.8kB / 8.11kB,18800,8109
1542764518.4593663,peer95.org1.example.com,16.5kB / 8.11kB,16500,8109
1542764518.4593663,peer30.org1.example.com,18.1kB / 8.52kB,18100,8520
1542764518.4593663,peer90.org1.example.com,18.2kB / 8.04kB,18200,8039
1542764518.4593663,peer55.org1.example.com,19.2kB / 8.16kB,19200,8160
1542764518.4593663,peer84.org1.example.com,16.9kB / 8.11kB,16900,8109
1542764518.4593663,peer17.org1.example.com,20.6kB / 8.23kB,20600,8230
1542764518.4593663,peer13.org1.example.com,26.5kB / 8.09kB,26500,8090
1542764518.4593663,peer60.org1.example.com,79.3kB / 20.4kB,79300,20400
1542764518.4593663,peer35.org1.example.com,76.7kB / 16.3kB,76700,16300
1542764518.4593663,peer74.org1.example.com,26.8kB / 8.11kB,26800,8109
1542764518.4593663,peer29.org1.example.com,78.7kB / 21.5kB,78700,21500
1542764518.4593663,peer79.org1.example.com,77.9kB / 16.7kB,77900,16700
1542764518.4593663,peer32.org1.example.com,26kB / 8.16kB,26000,8160
1542764518.4593663,peer97.org1.example.com,23.5kB / 8.03kB,23500,8029
1542764518.4593663,peer70.org1.example.com,77.8kB / 16.5kB,77800,16500
1542764518.4593663,peer50.org1.example.com,76.6kB / 14.1kB,76600,14100
1542764518.4593663,peer62.org1.example.com,73.2kB / 12.3kB,73200,12300
1542764518.4593663,peer16.org1.example.com,25.6kB / 8.08kB,25600,8080
1542764518.4593663,peer83.org1.example.com,83kB / 24.1kB,83000,24100
1542764518.4593663,peer87.org1.example.com,94.3kB / 29.4kB,94300,29400
1542764518.4593663,peer73.org1.example.com,105kB / 51.4kB,105000,51400
1542764518.4593663,peer80.org1.example.com,101kB / 55.3kB,101000,55300
1542764518.4593663,peer34.org1.example.com,148kB / 57.3kB,148000,57300
1542764518.4593663,peer42.org1.example.com,127kB / 89.6kB,127000,89600
1542764518.4593663,peer67.org1.example.com,94.2kB / 32.4kB,94200,32400
1542764518.4593663,peer27.org1.example.com,121kB / 94kB,121000,94000
1542764518.4593663,peer12.org1.example.com,127kB / 73.8kB,127000,73800
1542764518.4593663,peer91.org1.example.com,87.9kB / 27kB,87900,27000
1542764518.4593663,peer99.org1.example.com,192kB / 116kB,192000,116000
1542764518.4593663,peer94.org1.example.com,108kB / 54.2kB,108000,54200
1542764518.4593663,peer24.org1.example.com,130kB / 99.7kB,130000,99700
1542764518.4593663,peer88.org1.example.com,131kB / 86kB,131000,86000
1542764518.4593663,peer38.org1.example.com,291kB / 202kB,291000,202000
1542764518.4593663,peer89.org1.example.com,376kB / 231kB,376000,231000
1542764518.4593663,peer59.org1.example.com,345kB / 240kB,345000,240000
1542764518.4593663,peer76.org1.example.com,385kB / 274kB,385000,274000
1542764518.4593663,peer85.org1.example.com,413kB / 311kB,413000,311000
1542764518.4593663,peer1.org1.example.com,1.13MB / 2.23MB,1130000,2230000
1542764518.4593663,peer64.org1.example.com,435kB / 288kB,435000,288000
1542764518.4593663,peer44.org1.example.com,327kB / 234kB,327000,234000
1542764518.4593663,peer66.org1.example.com,421kB / 306kB,421000,306000
1542764518.4593663,peer4.org1.example.com,327kB / 264kB,327000,264000
1542764518.4593663,peer36.org1.example.com,432kB / 319kB,432000,319000
1542764518.4593663,peer69.org1.example.com,489kB / 327kB,489000,327000
1542764518.4593663,peer21.org1.example.com,398kB / 340kB,398000,340000
1542764518.4593663,peer18.org1.example.com,387kB / 341kB,387000,341000
1542764518.4593663,peer19.org1.example.com,396kB / 338kB,396000,338000
1542764518.4593663,orderer.example.com,84.2kB / 2.15kB,84200,2150
1542764518.4593663,peer46.org1.example.com,531kB / 413kB,531000,413000
1542764518.4593663,peer41.org1.example.com,475kB / 346kB,475000,346000
1542764518.4593663,peer8.org1.example.com,580kB / 447kB,580000,447000
1542764518.4593663,peer86.org1.example.com,639kB / 431kB,639000,431000
1542764518.4593663,peer47.org1.example.com,490kB / 386kB,490000,386000
1542764518.4593663,peer6.org1.example.com,504kB / 443kB,504000,443000
1542764518.4593663,peer75.org1.example.com,597kB / 423kB,597000,423000
1542764518.4593663,peer81.org1.example.com,575kB / 428kB,575000,428000
1542764518.4593663,peer37.org1.example.com,468kB / 344kB,468000,344000
1542764518.4593663,peer28.org1.example.com,436kB / 360kB,436000,360000
1542764518.4593663,peer2.org1.example.com,616kB / 398kB,616000,398000
1542764518.4593663,peer68.org1.example.com,482kB / 386kB,482000,386000
1542764518.4593663,peer48.org1.example.com,501kB / 334kB,501000,334000
1542764518.4593663,peer10.org1.example.com,555kB / 373kB,555000,373000
1542764518.4593663,peer98.org1.example.com,521kB / 367kB,521000,367000
1542764518.4593663,peer93.org1.example.com,513kB / 388kB,513000,388000
1542764518.4593663,peer71.org1.example.com,445kB / 261kB,445000,261000
1542764518.4593663,peer77.org1.example.com,510kB / 261kB,510000,261000
1542764518.4593663,peer58.org1.example.com,624kB / 457kB,624000,457000
1542764518.4593663,peer11.org1.example.com,468kB / 145kB,468000,145000
1542764518.4593663,peer40.org1.example.com,456kB / 181kB,456000,181000
1542764518.4593663,peer20.org1.example.com,455kB / 132kB,455000,132000
1542764518.4593663,peer9.org1.example.com,372kB / 84.6kB,372000,84600
1542764518.4593663,peer45.org1.example.com,360kB / 125kB,360000,125000
1542764518.4593663,peer3.org1.example.com,342kB / 82.8kB,342000,82800
1542764518.4593663,peer51.org1.example.com,467kB / 134kB,467000,134000
1542764518.4593663,peer57.org1.example.com,362kB / 103kB,362000,103000
1542764518.4593663,peer26.org1.example.com,420kB / 134kB,420000,134000
1542764518.4593663,peer7.org1.example.com,377kB / 154kB,377000,154000
1542764518.4593663,peer23.org1.example.com,455kB / 282kB,455000,282000
1542764518.4593663,peer65.org1.example.com,402kB / 98.1kB,402000,98100
1542764518.4593663,peer0.org1.example.com,2.36MB / 8.53MB,2360000,8530000
1542764518.4593663,peer31.org1.example.com,391kB / 99.2kB,391000,99200
1542764518.4593663,peer56.org1.example.com,476kB / 342kB,476000,342000
1542764518.4593663,peer52.org1.example.com,370kB / 158kB,370000,158000
1542764518.4593663,peer92.org1.example.com,324kB / 117kB,324000,117000
1542764518.4593663,peer78.org1.example.com,474kB / 224kB,474000,224000
1542764518.4593663,peer43.org1.example.com,317kB / 90.1kB,317000,90100
1542764518.4593663,peer22.org1.example.com,379kB / 119kB,379000,119000
1542764518.4593663,peer61.org1.example.com,104kB / 12.6kB,104000,12600
1542764518.4593663,peer25.org1.example.com,400kB / 124kB,400000,124000
1542764518.4593663,peer39.org1.example.com,470kB / 121kB,470000,121000
1542764518.4593663,peer33.org1.example.com,415kB / 143kB,415000,143000
1542764518.4593663,peer82.org1.example.com,426kB / 124kB,426000,124000
1542764518.4593663,peer15.org1.example.com,346kB / 110kB,346000,110000
1542764518.4593663,peer53.org1.example.com,376kB / 108kB,376000,108000
1542764518.4593663,peer72.org1.example.com,451kB / 135kB,451000,135000
1542764518.4593663,peer5.org1.example.com,422kB / 132kB,422000,132000
1542764518.4593663,peer96.org1.example.com,356kB / 151kB,356000,151000
1542764518.4593663,peer49.org1.example.com,386kB / 133kB,386000,133000
1542764518.4593663,peer14.org1.example.com,495kB / 244kB,495000,244000

peer63.org1.example.com,23kB / 8.25kB
peer54.org1.example.com,24.9kB / 8.15kB
peer95.org1.example.com,23.4kB / 8.15kB
peer30.org1.example.com,24.4kB / 8.52kB
peer90.org1.example.com,24.8kB / 8.04kB
peer55.org1.example.com,25.2kB / 8.16kB
peer84.org1.example.com,23.5kB / 8.15kB
peer17.org1.example.com,26.6kB / 8.23kB
peer13.org1.example.com,81.2kB / 12.4kB
peer60.org1.example.com,97.4kB / 32.7kB
peer35.org1.example.com,94.1kB / 27.3kB
peer74.org1.example.com,84kB / 14.3kB
peer29.org1.example.com,97.9kB / 36.1kB
peer79.org1.example.com,96.5kB / 28.4kB
peer32.org1.example.com,79kB / 10.6kB
peer97.org1.example.com,29.4kB / 8.03kB
peer70.org1.example.com,93.9kB / 25.1kB
peer50.org1.example.com,92.9kB / 22.6kB
peer62.org1.example.com,89.5kB / 17.9kB
peer16.org1.example.com,75.3kB / 8.7kB
peer83.org1.example.com,103kB / 40.7kB
peer87.org1.example.com,123kB / 49.7kB
peer73.org1.example.com,134kB / 75.6kB
peer80.org1.example.com,131kB / 79kB
peer34.org1.example.com,185kB / 82kB
peer42.org1.example.com,143kB / 111kB
peer67.org1.example.com,121kB / 51.9kB
peer27.org1.example.com,181kB / 109kB
peer12.org1.example.com,136kB / 80.2kB
peer91.org1.example.com,99.7kB / 52.4kB
peer99.org1.example.com,209kB / 138kB
peer94.org1.example.com,138kB / 79.7kB
peer24.org1.example.com,146kB / 120kB
peer88.org1.example.com,146kB / 104kB
peer38.org1.example.com,339kB / 241kB
peer89.org1.example.com,401kB / 253kB
peer59.org1.example.com,370kB / 270kB
peer76.org1.example.com,407kB / 305kB
peer85.org1.example.com,479kB / 333kB
peer1.org1.example.com,1.23MB / 2.5MB
peer64.org1.example.com,460kB / 311kB
peer44.org1.example.com,357kB / 261kB
peer66.org1.example.com,465kB / 331kB
peer4.org1.example.com,338kB / 274kB
peer36.org1.example.com,469kB / 338kB
peer69.org1.example.com,504kB / 343kB
peer21.org1.example.com,441kB / 362kB
peer18.org1.example.com,456kB / 367kB
peer19.org1.example.com,459kB / 391kB
orderer.example.com,90kB / 2.15kB
peer46.org1.example.com,581kB / 452kB
peer41.org1.example.com,522kB / 383kB
peer8.org1.example.com,606kB / 473kB
peer86.org1.example.com,660kB / 445kB
peer47.org1.example.com,515kB / 408kB
peer6.org1.example.com,524kB / 460kB
peer75.org1.example.com,622kB / 443kB
peer81.org1.example.com,618kB / 453kB
peer37.org1.example.com,479kB / 354kB
peer28.org1.example.com,445kB / 366kB
peer2.org1.example.com,638kB / 413kB
peer68.org1.example.com,493kB / 395kB
peer48.org1.example.com,524kB / 347kB
peer10.org1.example.com,568kB / 383kB
peer98.org1.example.com,533kB / 381kB
peer93.org1.example.com,538kB / 410kB
peer71.org1.example.com,453kB / 265kB
peer77.org1.example.com,570kB / 270kB
peer58.org1.example.com,654kB / 483kB
peer11.org1.example.com,484kB / 150kB
peer40.org1.example.com,474kB / 193kB
peer20.org1.example.com,464kB / 136kB
peer9.org1.example.com,388kB / 89.4kB
peer45.org1.example.com,390kB / 140kB
peer3.org1.example.com,378kB / 88.7kB
peer51.org1.example.com,480kB / 138kB
peer57.org1.example.com,370kB / 121kB
peer26.org1.example.com,427kB / 136kB
peer7.org1.example.com,404kB / 157kB
peer23.org1.example.com,472kB / 290kB
peer65.org1.example.com,420kB / 105kB
peer0.org1.example.com,2.43MB / 8.94MB
peer31.org1.example.com,432kB / 117kB
peer56.org1.example.com,532kB / 377kB
peer52.org1.example.com,400kB / 163kB
peer92.org1.example.com,369kB / 129kB
peer78.org1.example.com,504kB / 276kB
peer43.org1.example.com,369kB / 105kB
peer22.org1.example.com,396kB / 125kB
peer61.org1.example.com,110kB / 13kB
peer25.org1.example.com,417kB / 129kB
peer39.org1.example.com,482kB / 124kB
peer33.org1.example.com,435kB / 150kB
peer82.org1.example.com,443kB / 130kB
peer15.org1.example.com,363kB / 115kB
peer53.org1.example.com,404kB / 111kB
peer72.org1.example.com,465kB / 140kB
peer5.org1.example.com,452kB / 136kB
peer96.org1.example.com,362kB / 151kB
peer49.org1.example.com,444kB / 140kB
peer14.org1.example.com,527kB / 258kB
1542764522.7487586,peer63.org1.example.com,23kB / 8.25kB,23000,8250
1542764522.7487586,peer54.org1.example.com,24.9kB / 8.15kB,24900,8150
1542764522.7487586,peer95.org1.example.com,23.4kB / 8.15kB,23400,8150
1542764522.7487586,peer30.org1.example.com,24.4kB / 8.52kB,24400,8520
1542764522.7487586,peer90.org1.example.com,24.8kB / 8.04kB,24800,8039
1542764522.7487586,peer55.org1.example.com,25.2kB / 8.16kB,25200,8160
1542764522.7487586,peer84.org1.example.com,23.5kB / 8.15kB,23500,8150
1542764522.7487586,peer17.org1.example.com,26.6kB / 8.23kB,26600,8230
1542764522.7487586,peer13.org1.example.com,81.2kB / 12.4kB,81200,12400
1542764522.7487586,peer60.org1.example.com,97.4kB / 32.7kB,97400,32700
1542764522.7487586,peer35.org1.example.com,94.1kB / 27.3kB,94100,27300
1542764522.7487586,peer74.org1.example.com,84kB / 14.3kB,84000,14300
1542764522.7487586,peer29.org1.example.com,97.9kB / 36.1kB,97900,36100
1542764522.7487586,peer79.org1.example.com,96.5kB / 28.4kB,96500,28400
1542764522.7487586,peer32.org1.example.com,79kB / 10.6kB,79000,10600
1542764522.7487586,peer97.org1.example.com,29.4kB / 8.03kB,29400,8029
1542764522.7487586,peer70.org1.example.com,93.9kB / 25.1kB,93900,25100
1542764522.7487586,peer50.org1.example.com,92.9kB / 22.6kB,92900,22600
1542764522.7487586,peer62.org1.example.com,89.5kB / 17.9kB,89500,17900
1542764522.7487586,peer16.org1.example.com,75.3kB / 8.7kB,75300,8700
1542764522.7487586,peer83.org1.example.com,103kB / 40.7kB,103000,40700
1542764522.7487586,peer87.org1.example.com,123kB / 49.7kB,123000,49700
1542764522.7487586,peer73.org1.example.com,134kB / 75.6kB,134000,75600
1542764522.7487586,peer80.org1.example.com,131kB / 79kB,131000,79000
1542764522.7487586,peer34.org1.example.com,185kB / 82kB,185000,82000
1542764522.7487586,peer42.org1.example.com,143kB / 111kB,143000,111000
1542764522.7487586,peer67.org1.example.com,121kB / 51.9kB,121000,51900
1542764522.7487586,peer27.org1.example.com,181kB / 109kB,181000,109000
1542764522.7487586,peer12.org1.example.com,136kB / 80.2kB,136000,80200
1542764522.7487586,peer91.org1.example.com,99.7kB / 52.4kB,99700,52400
1542764522.7487586,peer99.org1.example.com,209kB / 138kB,209000,138000
1542764522.7487586,peer94.org1.example.com,138kB / 79.7kB,138000,79700
1542764522.7487586,peer24.org1.example.com,146kB / 120kB,146000,120000
1542764522.7487586,peer88.org1.example.com,146kB / 104kB,146000,104000
1542764522.7487586,peer38.org1.example.com,339kB / 241kB,339000,241000
1542764522.7487586,peer89.org1.example.com,401kB / 253kB,401000,253000
1542764522.7487586,peer59.org1.example.com,370kB / 270kB,370000,270000
1542764522.7487586,peer76.org1.example.com,407kB / 305kB,407000,305000
1542764522.7487586,peer85.org1.example.com,479kB / 333kB,479000,333000
1542764522.7487586,peer1.org1.example.com,1.23MB / 2.5MB,1230000,2500000
1542764522.7487586,peer64.org1.example.com,460kB / 311kB,460000,311000
1542764522.7487586,peer44.org1.example.com,357kB / 261kB,357000,261000
1542764522.7487586,peer66.org1.example.com,465kB / 331kB,465000,331000
1542764522.7487586,peer4.org1.example.com,338kB / 274kB,338000,274000
1542764522.7487586,peer36.org1.example.com,469kB / 338kB,469000,338000
1542764522.7487586,peer69.org1.example.com,504kB / 343kB,504000,343000
1542764522.7487586,peer21.org1.example.com,441kB / 362kB,441000,362000
1542764522.7487586,peer18.org1.example.com,456kB / 367kB,456000,367000
1542764522.7487586,peer19.org1.example.com,459kB / 391kB,459000,391000
1542764522.7487586,orderer.example.com,90kB / 2.15kB,90000,2150
1542764522.7487586,peer46.org1.example.com,581kB / 452kB,581000,452000
1542764522.7487586,peer41.org1.example.com,522kB / 383kB,522000,383000
1542764522.7487586,peer8.org1.example.com,606kB / 473kB,606000,473000
1542764522.7487586,peer86.org1.example.com,660kB / 445kB,660000,445000
1542764522.7487586,peer47.org1.example.com,515kB / 408kB,515000,408000
